Longitude,Latitude,llsgrd,SILO_Jan,SILO_Feb,SILO_Mar,SILO_Apr,SILO_May,SILO_June,SILO_July,SILO_Aug,SILO_Sep,SILO_Oct,SILO_Nov,SILO_Dec
141.5333605,-32.0007568,8,31.3,43.8,30.2,14.1,17.1,14.8,13.7,13.3,13.2,24.8,20.6,38.3
141.5352889,-33.0395042,8,43.5,66.2,104.9,20.7,30.3,22.6,16.4,14.3,25.3,51.8,23.6,71.4
141.5391458,-31.303789,8,106.5,94.9,74.7,17.6,22.2,22.6,24.7,16.3,20.5,33.5,33.7,80.4
141.5472452,-34.1435834,8,64.7,53.9,33.8,16.2,23.8,19.3,15.3,14,31,39.8,36.3,68.7
141.5503307,-33.4146629,8,43.7,58.6,59.3,15.1,23.5,15.8,13.5,12,20.4,38,19.8,63
141.5538019,-31.720315,8,49.1,57.6,38.9,15.1,17.1,16.4,16.8,13,14.8,26.7,21.1,52.2
141.5541875,-30.3551938,8,78.3,48.4,12.3,38.4,20.8,22.2,15.7,11.9,18.1,22.4,16.6,50.4
141.5603585,-33.1288005,8,42.3,63.3,88.2,17.9,28.3,20.9,15.6,13.6,23.7,47.9,21.9,67.7
141.5673009,-33.7373279,8,57.8,61.4,46.7,15.2,22.2,16.2,14,12.4,23.7,37.2,25.4,67.2
141.5727005,-33.3359224,8,42,58.1,61.1,15.1,23.7,15.9,13.4,12,20.4,38.3,19.5,62.2
141.5727005,-30.4701664,8,74.7,50.4,13.5,33.8,20.3,21.1,15.7,11.5,16.6,21.1,17.3,43.1
141.5765573,-32.2803428,8,27.7,32.9,29.4,14.7,19.1,15,12.9,12.9,13.5,26.9,19.7,39.2
141.576943,-30.2852973,8,74.2,46.5,11.9,40.5,21,23.8,16.1,11.9,19.2,22.1,16.2,52.7
141.5773287,-31.2504394,8,113.5,99.9,77.3,17.6,22.6,23.2,25.4,17,20.6,32.2,34.9,80.7
141.5784858,-32.8223972,8,34.4,47.4,105.8,19.9,28.3,19.6,14.2,13.2,24.6,45.4,22.4,63.3
141.5838854,-30.0915842,8,73.4,59.6,17.3,40.5,22.1,22.7,19.4,12.9,24.2,24.4,18.4,74.2
141.589285,-29.2739379,8,57.9,83.6,63.8,24.9,21.5,15.8,25.1,12,28.1,24.9,25,60.2
141.5908277,-29.7495193,8,65.8,73.9,37.1,29.4,20,17.8,24.2,20,33.6,25.8,20.8,98.2
141.5915991,-33.7336191,8,55.8,59.8,45.7,15.1,21.9,16.2,13.8,12.4,23.4,36.8,25.5,65.9
141.5931418,-29.7050138,8,65.8,73.8,37.9,29.2,19.9,17.8,24.4,19.4,33.1,26.5,20.4,96.3
141.5981557,-30.5451981,8,62.3,52,16,26.5,19.8,19.6,16.2,11.4,15.2,17.9,18.5,39.5
141.5996985,-31.9616718,8,33.1,45.7,29.3,14.1,17.1,15.1,14.3,13.3,13.5,24.2,20.4,40.2
141.6004699,-29.3586696,8,57.6,78.7,52.6,24.6,20.2,15.7,23.7,12.9,28.7,25.1,21.6,64.1
141.6008555,-29.6202821,8,64.5,73,39.6,27.9,19.5,17.3,24.2,17.6,31.5,27,19.6,89.3
141.602784,-32.7176951,8,30.8,39.4,80.5,17.8,24.3,17.4,13,12.5,20.7,41,20,53.7
141.6035553,-29.554665,8,63.2,72.9,40.9,27,19.2,16.8,23.9,16.5,30.6,26.8,19.3,84.4
141.6112691,-29.9657705,8,69.1,68.2,26.1,34.8,21.3,19.9,21.7,16.8,29.3,24.6,19.9,88.9
141.6120404,-30.4513371,8,68.9,50,13,32.8,20.2,20.7,15.7,11.5,16.3,19.6,16.9,42.6
141.61744,-29.5598003,8,63.2,72.9,40.9,27,19.2,16.8,23.9,16.5,30.6,26.8,19.3,84.4
141.6178257,-34.1144837,8,63.6,56.4,33.7,16.3,23.7,18.8,14.9,13.7,31,39.4,36.4,68.4
141.6178257,-30.8747101,8,79.6,74.4,50.5,16.7,19.8,22,21.4,15.5,16.6,19.3,28.5,58
141.6201398,-30.5591774,8,62.3,52,16,26.5,19.8,19.6,16.2,11.4,15.2,17.9,18.5,39.5
141.6232253,-31.5813779,8,61.2,65.6,45.1,16,18.2,18.5,19.6,14,16.7,28.9,23.3,62.4
141.6251538,-30.554898,8,59.2,53.7,15.7,26.5,20.6,19.6,16.9,11.5,15.2,17.2,19,40.1
141.6274679,-30.2519182,8,68.3,48.3,12.2,40,21.1,23.3,16.5,11.9,19.6,21,16,54.2
141.6282392,-31.1611431,8,125.3,110.1,83.4,17.8,24.2,24.5,26.5,18.1,20.9,30.2,37,80.8
141.6293963,-31.3160565,8,108.8,96.7,72.2,17.5,22.3,23.2,25.5,17.1,20.4,31.8,33.5,79.5
141.6317104,-33.2380673,8,47.3,67.5,82.9,18.1,28.4,20.7,15.2,13.3,22.8,44.3,20.9,75.3
141.6317104,-33.6962459,8,51.3,57,46.2,14.8,21.3,15.6,13.4,12.1,21.8,35.7,23.8,64.6
141.6328675,-32.1753554,8,27.5,32,23,13.8,17.7,14.3,12.8,12.9,13,25.1,19.3,37.2
141.6340245,-34.1056396,8,62.2,58.7,33.1,16.4,23.5,18.6,14.8,13.5,31.4,39.6,37.3,68.3
141.6340245,-31.1012318,8,126.2,111.6,83.8,17.6,24.2,24.2,25.9,18.1,20.5,28.6,36.6,78.9
141.6374957,-33.427501,8,44.4,55.8,56,15.2,23.6,16.2,13.5,12.2,20.5,36.9,20.1,66.1
141.6374957,-33.4788536,8,45.9,56.3,54.9,15.2,23.4,16.2,13.7,12.3,20.7,36.8,20.8,66.6
141.6413526,-33.8086509,8,54.1,57.1,40.3,14.6,20.6,15.2,13,11.9,22.9,35.2,25.5,62.2
141.6448237,-31.5131931,8,76.8,76.5,54.1,17,19.9,21.3,23.1,15.6,19,31.3,26.8,72.3
141.6490663,-34.0554283,8,60.8,59.7,33.5,16.3,23.6,18.5,14.7,13.5,30.6,39.6,36.2,66.5
141.6509947,-29.4528159,8,57.7,74.6,46.4,26.2,19.5,16.7,24.2,14.9,29.8,25.9,20.1,75.7
141.6563943,-32.6632043,8,30,36.8,65.8,17.1,23.6,17.4,13.1,12.6,19.9,40.2,19.6,52.3
141.6575514,-32.2078786,8,27.5,32,23,13.8,17.7,14.3,12.8,12.9,13,25.1,19.3,37.2
141.6590941,-32.2794869,8,27.6,32.4,27.5,14.6,19.2,15,13.1,12.9,13.8,27.4,19.4,40
141.6602512,-31.2033663,8,119.7,105.2,78.7,17.4,23.1,23.3,25.5,17.4,20.3,30.2,35.3,79.6
141.6606369,-30.1708953,8,68.6,56.3,15.2,41,22.1,23.4,18.6,12.1,22.3,22.7,17.5,66.4
141.6606369,-29.4165838,8,57,77.2,49.9,26,20,16.6,24.3,14.2,29.7,25.6,21.1,71.2
141.6617939,-30.4031228,8,66.5,49.6,12.2,36.3,21.1,22.6,16.3,11.6,17.4,19.8,16.6,47.9
141.6621796,-33.6468904,8,50.3,57.2,49.7,15,22.1,16.1,13.7,12.3,21.8,36.3,23.4,66.2
